"T","Points:0","Points:1","Points:2"
1545,48047,1.1836e+05,0
1543.3,49219,1.1836e+05,0
1538.6,46875,1.1953e+05,0
1536.6,48047,1.1953e+05,0
1534.6,49219,1.1953e+05,0
1550.7,49219,1.1719e+05,0
1549.3,50391,1.1719e+05,0
1547.7,51562,1.1719e+05,0
1543.3,49219,1.1836e+05,0
1541.5,50391,1.1836e+05,0
1539.7,51562,1.1836e+05,0
1534.6,49219,1.1953e+05,0
1532.5,50391,1.1953e+05,0
1530.4,51562,1.1953e+05,0
1538.6,46875,1.1953e+05,0
1536.6,48047,1.1953e+05,0
1534.6,49219,1.1953e+05,0
1529.1,46875,1.207e+05,0
1526.8,48047,1.207e+05,0
1524.4,49219,1.207e+05,0
1518,46875,1.2188e+05,0
1515.3,48047,1.2188e+05,0
1512.6,49219,1.2188e+05,0
1534.6,49219,1.1953e+05,0
1532.5,50391,1.1953e+05,0
1530.4,51562,1.1953e+05,0
1524.4,49219,1.207e+05,0
1522,50391,1.207e+05,0
1519.6,51562,1.207e+05,0
1512.6,49219,1.2188e+05,0
1509.8,50391,1.2188e+05,0
1507,51562,1.2188e+05,0
1547.7,51562,1.1719e+05,0
1546.2,52734,1.1719e+05,0
1544.6,53906,1.1719e+05,0
1539.7,51562,1.1836e+05,0
1537.9,52734,1.1836e+05,0
1536,53906,1.1836e+05,0
1530.4,51562,1.1953e+05,0
1528.3,52734,1.1953e+05,0
1526.1,53906,1.1953e+05,0
1544.6,53906,1.1719e+05,0
1543,55078,1.1719e+05,0
1541.3,56250,1.1719e+05,0
1536,53906,1.1836e+05,0
1534.2,55078,1.1836e+05,0
1532.2,56250,1.1836e+05,0
1526.1,53906,1.1953e+05,0
1523.9,55078,1.1953e+05,0
1521.7,56250,1.1953e+05,0
1530.4,51562,1.1953e+05,0
1528.3,52734,1.1953e+05,0
1526.1,53906,1.1953e+05,0
1519.6,51562,1.207e+05,0
1517.1,52734,1.207e+05,0
1514.7,53906,1.207e+05,0
1507,51562,1.2188e+05,0
1504.2,52734,1.2188e+05,0
1501.4,53906,1.2188e+05,0
1526.1,53906,1.1953e+05,0
1523.9,55078,1.1953e+05,0
1521.7,56250,1.1953e+05,0
1514.7,53906,1.207e+05,0
1512.2,55078,1.207e+05,0
1509.6,56250,1.207e+05,0
1501.4,53906,1.2188e+05,0
1498.6,55078,1.2188e+05,0
1495.7,56250,1.2188e+05,0
1538.2,37500,1.2188e+05,0
1535.9,38672,1.2188e+05,0
1533.5,39844,1.2188e+05,0
1528.8,37500,1.2305e+05,0
1526,38672,1.2305e+05,0
1523.1,39844,1.2305e+05,0
1517.5,37500,1.2422e+05,0
